Treatment Function Code,Metric,Category,Waiting Bands,Count
Cardiothoracic Surgery Service,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,45
Cardiothoracic Surgery Service,Ethnicity,S: Any other ethnic group,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,S: Any other ethnic group,Total,140
Cardiothoracic Surgery Service,Ethnicity,Z: Not stated,Unknown Clock Start,*
Cardiothoracic Surgery Service,Ethnicity,Z: Not stated,01 To 18 Weeks,375
Cardiothoracic Surgery Service,Ethnicity,Z: Not stated,18 To 52 Weeks,110
Cardiothoracic Surgery Service,Ethnicity,Z: Not stated,Over 52 Weeks,*
Cardiothoracic Surgery Service,Ethnicity,Z: Not stated,Total,485
Cardiothoracic Surgery Service,IMD,1,Unknown Clock Start,*
Cardiothoracic Surgery Service,IMD,1,01 To 18 Weeks,885
Cardiothoracic Surgery Service,IMD,1,18 To 52 Weeks,440
Cardiothoracic Surgery Service,IMD,1,Over 52 Weeks,25
Cardiothoracic Surgery Service,IMD,1,Total,1355
Cardiothoracic Surgery Service,IMD,10,01 To 18 Weeks,895
Cardiothoracic Surgery Service,IMD,10,18 To 52 Weeks,365
Cardiothoracic Surgery Service,IMD,10,Over 52 Weeks,30
Cardiothoracic Surgery Service,IMD,10,Total,1290
Cardiothoracic Surgery Service,IMD,2,01 To 18 Weeks,935
Cardiothoracic Surgery Service,IMD,2,18 To 52 Weeks,425
Cardiothoracic Surgery Service,IMD,2,Over 52 Weeks,30
Cardiothoracic Surgery Service,IMD,2,Total,1390
Cardiothoracic Surgery Service,IMD,3,Unknown Clock Start,*
Cardiothoracic Surgery Service,IMD,3,01 To 18 Weeks,1035
Cardiothoracic Surgery Service,IMD,3,18 To 52 Weeks,460
Cardiothoracic Surgery Service,IMD,3,Over 52 Weeks,25
Cardiothoracic Surgery Service,IMD,3,Total,1530
Cardiothoracic Surgery Service,IMD,4,01 To 18 Weeks,985
Cardiothoracic Surgery Service,IMD,4,18 To 52 Weeks,440
Cardiothoracic Surgery Service,IMD,4,Over 52 Weeks,30
Cardiothoracic Surgery Service,IMD,4,Total,1460
Cardiothoracic Surgery Service,IMD,5,Unknown Clock Start,*
Cardiothoracic Surgery Service,IMD,5,01 To 18 Weeks,970
Cardiothoracic Surgery Service,IMD,5,18 To 52 Weeks,480
Cardiothoracic Surgery Service,IMD,5,Over 52 Weeks,20
Cardiothoracic Surgery Service,IMD,5,Total,1475
Cardiothoracic Surgery Service,IMD,6,Unknown Clock Start,*
Cardiothoracic Surgery Service,IMD,6,01 To 18 Weeks,1015
Cardiothoracic Surgery Service,IMD,6,18 To 52 Weeks,455
Cardiothoracic Surgery Service,IMD,6,Over 52 Weeks,30
Cardiothoracic Surgery Service,IMD,6,Total,1505
Cardiothoracic Surgery Service,IMD,7,Unknown Clock Start,*
Cardiothoracic Surgery Service,IMD,7,01 To 18 Weeks,1035
Cardiothoracic Surgery Service,IMD,7,18 To 52 Weeks,435
Cardiothoracic Surgery Service,IMD,7,Over 52 Weeks,15
Cardiothoracic Surgery Service,IMD,7,Total,1490
Cardiothoracic Surgery Service,IMD,8,Unknown Clock Start,*
Cardiothoracic Surgery Service,IMD,8,01 To 18 Weeks,1020
Cardiothoracic Surgery Service,IMD,8,18 To 52 Weeks,420
Cardiothoracic Surgery Service,IMD,8,Over 52 Weeks,20
Cardiothoracic Surgery Service,IMD,8,Total,1465
Cardiothoracic Surgery Service,IMD,9,Unknown Clock Start,*
Cardiothoracic Surgery Service,IMD,9,01 To 18 Weeks,975
Cardiothoracic Surgery Service,IMD,9,18 To 52 Weeks,430
Cardiothoracic Surgery Service,IMD,9,Over 52 Weeks,20
Cardiothoracic Surgery Service,IMD,9,Total,1425
Cardiothoracic Surgery Service,Sex,Female,Unknown Clock Start,*
Cardiothoracic Surgery Service,Sex,Female,01 To 18 Weeks,3210
Cardiothoracic Surgery Service,Sex,Female,18 To 52 Weeks,1295
Cardiothoracic Surgery Service,Sex,Female,Over 52 Weeks,70
Cardiothoracic Surgery Service,Sex,Female,Total,4580
Cardiothoracic Surgery Service,Sex,Male,Unknown Clock Start,10
Cardiothoracic Surgery Service,Sex,Male,01 To 18 Weeks,5435
Cardiothoracic Surgery Service,Sex,Male,18 To 52 Weeks,2490
Cardiothoracic Surgery Service,Sex,Male,Over 52 Weeks,150
Cardiothoracic Surgery Service,Sex,Male,Total,8085
Dermatology Service,Age,0-18 Years,Unknown Clock Start,25
Dermatology Service,Age,0-18 Years,01 To 18 Weeks,17290
Dermatology Service,Age,0-18 Years,18 To 52 Weeks,13675
Dermatology Service,Age,0-18 Years,Over 52 Weeks,980
Dermatology Service,Age,0-18 Years,Total,31975
Dermatology Service,Age,19-64 Years,Unknown Clock Start,290
Dermatology Service,Age,19-64 Years,01 To 18 Weeks,137525
Dermatology Service,Age,19-64 Years,18 To 52 Weeks,84985
Dermatology Service,Age,19-64 Years,Over 52 Weeks,7250
Dermatology Service,Age,19-64 Years,Total,230050
Dermatology Service,Age,Over 65 Years,Unknown Clock Start,180
Dermatology Service,Age,Over 65 Years,01 To 18 Weeks,97940
Dermatology Service,Age,Over 65 Years,18 To 52 Weeks,43325
Dermatology Service,Age,Over 65 Years,Over 52 Weeks,3530
Dermatology Service,Age,Over 65 Years,Total,144975
Dermatology Service,Ethnicity,99: Not known,Unknown Clock Start,*
Dermatology Service,Ethnicity,99: Not known,01 To 18 Weeks,10845
Dermatology Service,Ethnicity,99: Not known,18 To 52 Weeks,5800
Dermatology Service,Ethnicity,99: Not known,Over 52 Weeks,430
Dermatology Service,Ethnicity,99: Not known,Total,17080
Dermatology Service,Ethnicity,A: British,Unknown Clock Start,375
Dermatology Service,Ethnicity,A: British,01 To 18 Weeks,187175
Dermatology Service,Ethnicity,A: British,18 To 52 Weeks,100465
Dermatology Service,Ethnicity,A: British,Over 52 Weeks,8645
Dermatology Service,Ethnicity,A: British,Total,296660
Dermatology Service,Ethnicity,B: Irish,Unknown Clock Start,*
Dermatology Service,Ethnicity,B: Irish,01 To 18 Weeks,1900
Dermatology Service,Ethnicity,B: Irish,18 To 52 Weeks,1010
Dermatology Service,Ethnicity,B: Irish,Over 52 Weeks,80
Dermatology Service,Ethnicity,B: Irish,Total,2995
Dermatology Service,Ethnicity,C: Any other white background,Unknown Clock Start,15
Dermatology Service,Ethnicity,C: Any other white background,01 To 18 Weeks,14665
Dermatology Service,Ethnicity,C: Any other white background,18 To 52 Weeks,9200
Dermatology Service,Ethnicity,C: Any other white background,Over 52 Weeks,690
Dermatology Service,Ethnicity,C: Any other white background,Total,24570
Dermatology Service,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,*
Dermatology Service,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,825
Dermatology Service,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,565
Dermatology Service,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,45
Dermatology Service,Ethnicity,D: White and Black Caribbean,Total,1435
Dermatology Service,Ethnicity,E: White and Black African,Unknown Clock Start,*
Dermatology Service,Ethnicity,E: White and Black African,01 To 18 Weeks,425
Dermatology Service,Ethnicity,E: White and Black African,18 To 52 Weeks,340
Dermatology Service,Ethnicity,E: White and Black African,Over 52 Weeks,25
Dermatology Service,Ethnicity,E: White and Black African,Total,785
Dermatology Service,Ethnicity,F: White and Asian,Unknown Clock Start,*
Dermatology Service,Ethnicity,F: White and Asian,01 To 18 Weeks,665
Dermatology Service,Ethnicity,F: White and Asian,18 To 52 Weeks,495
Dermatology Service,Ethnicity,F: White and Asian,Over 52 Weeks,45
Dermatology Service,Ethnicity,F: White and Asian,Total,1205
Dermatology Service,Ethnicity,G: Any other mixed background,Unknown Clock Start,*
Dermatology Service,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1765
Dermatology Service,Ethnicity,G: Any other mixed background,18 To 52 Weeks,1230
Dermatology Service,Ethnicity,G: Any other mixed background,Over 52 Weeks,85
Dermatology Service,Ethnicity,G: Any other mixed background,Total,3080
Dermatology Service,Ethnicity,H: Indian,Unknown Clock Start,10
Dermatology Service,Ethnicity,H: Indian,01 To 18 Weeks,5185
Dermatology Service,Ethnicity,H: Indian,18 To 52 Weeks,3685
Dermatology Service,Ethnicity,H: Indian,Over 52 Weeks,315
Dermatology Service,Ethnicity,H: Indian,Total,9200
Dermatology Service,Ethnicity,J: Pakistani,Unknown Clock Start,*
Dermatology Service,Ethnicity,J: Pakistani,01 To 18 Weeks,4250
Dermatology Service,Ethnicity,J: Pakistani,18 To 52 Weeks,3335
Dermatology Service,Ethnicity,J: Pakistani,Over 52 Weeks,250
Dermatology Service,Ethnicity,J: Pakistani,Total,7835
Dermatology Service,Ethnicity,K: Bangladeshi,Unknown Clock Start,*
Dermatology Service,Ethnicity,K: Bangladeshi,01 To 18 Weeks,1960
Dermatology Service,Ethnicity,K: Bangladeshi,18 To 52 Weeks,1450
Dermatology Service,Ethnicity,K: Bangladeshi,Over 52 Weeks,60
Dermatology Service,Ethnicity,K: Bangladeshi,Total,3470
Dermatology Service,Ethnicity,L: Any other Asian background,Unknown Clock Start,10
Dermatology Service,Ethnicity,L: Any other Asian background,01 To 18 Weeks,4235
Dermatology Service,Ethnicity,L: Any other Asian background,18 To 52 Weeks,3185
Dermatology Service,Ethnicity,L: Any other Asian background,Over 52 Weeks,275
Dermatology Service,Ethnicity,L: Any other Asian background,Total,7705
Dermatology Service,Ethnicity,M: Caribbean,Unknown Clock Start,*
Dermatology Service,Ethnicity,M: Caribbean,01 To 18 Weeks,2145
Dermatology Service,Ethnicity,M: Caribbean,18 To 52 Weeks,1440
Dermatology Service,Ethnicity,M: Caribbean,Over 52 Weeks,115
Dermatology Service,Ethnicity,M: Caribbean,Total,3695
Dermatology Service,Ethnicity,N: African,Unknown Clock Start,*
Dermatology Service,Ethnicity,N: African,01 To 18 Weeks,3170
Dermatology Service,Ethnicity,N: African,18 To 52 Weeks,2545
Dermatology Service,Ethnicity,N: African,Over 52 Weeks,170
Dermatology Service,Ethnicity,N: African,Total,5885
Dermatology Service,Ethnicity,P: Any other Black background,Unknown Clock Start,*
Dermatology Service,Ethnicity,P: Any other Black background,01 To 18 Weeks,1810
Dermatology Service,Ethnicity,P: Any other Black background,18 To 52 Weeks,1245
Dermatology Service,Ethnicity,P: Any other Black background,Over 52 Weeks,100
Dermatology Service,Ethnicity,P: Any other Black background,Total,3155
Dermatology Service,Ethnicity,R: Chinese,Unknown Clock Start,*
Dermatology Service,Ethnicity,R: Chinese,01 To 18 Weeks,1025
Dermatology Service,Ethnicity,R: Chinese,18 To 52 Weeks,725
Dermatology Service,Ethnicity,R: Chinese,Over 52 Weeks,50
Dermatology Service,Ethnicity,R: Chinese,Total,1805
Dermatology Service,Ethnicity,S: Any other ethnic group,Unknown Clock Start,*
Dermatology Service,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,2375
Dermatology Service,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,1675
Dermatology Service,Ethnicity,S: Any other ethnic group,Over 52 Weeks,105
Dermatology Service,Ethnicity,S: Any other ethnic group,Total,4160
Dermatology Service,Ethnicity,Z: Not stated,Unknown Clock Start,70
Dermatology Service,Ethnicity,Z: Not stated,01 To 18 Weeks,13680
Dermatology Service,Ethnicity,Z: Not stated,18 To 52 Weeks,7855
Dermatology Service,Ethnicity,Z: Not stated,Over 52 Weeks,655
Dermatology Service,Ethnicity,Z: Not stated,Total,22260
Dermatology Service,IMD,1,Unknown Clock Start,30
Dermatology Service,IMD,1,01 To 18 Weeks,17495
Dermatology Service,IMD,1,18 To 52 Weeks,11810
Dermatology Service,IMD,1,Over 52 Weeks,890
Dermatology Service,IMD,1,Total,30225
Dermatology Service,IMD,10,Unknown Clock Start,65
Dermatology Service,IMD,10,01 To 18 Weeks,28740
Dermatology Service,IMD,10,18 To 52 Weeks,15535
