Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,01 To 18 Weeks,267475
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,18 To 52 Weeks,172080
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Over 52 Weeks,12890
ENG,ENGLAND,ENGLAND,Ethnicity,C: Any other white background,Total,452855
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,20
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,17750
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,11715
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,855
ENG,ENGLAND,ENGLAND,Ethnicity,D: White and Black Caribbean,Total,30340
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Unknown Clock Start,10
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,01 To 18 Weeks,10155
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,18 To 52 Weeks,6340
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Over 52 Weeks,540
ENG,ENGLAND,ENGLAND,Ethnicity,E: White and Black African,Total,17050
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,Unknown Clock Start,35
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,01 To 18 Weeks,14265
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,18 To 52 Weeks,9055
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,Over 52 Weeks,745
ENG,ENGLAND,ENGLAND,Ethnicity,F: White and Asian,Total,24095
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,Unknown Clock Start,60
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,01 To 18 Weeks,34945
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,18 To 52 Weeks,22515
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,Over 52 Weeks,1700
ENG,ENGLAND,ENGLAND,Ethnicity,G: Any other mixed background,Total,59220
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,Unknown Clock Start,115
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,01 To 18 Weeks,119595
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,18 To 52 Weeks,76800
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,Over 52 Weeks,5375
ENG,ENGLAND,ENGLAND,Ethnicity,H: Indian,Total,201885
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Unknown Clock Start,70
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,01 To 18 Weeks,103545
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,18 To 52 Weeks,72675
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Over 52 Weeks,5460
ENG,ENGLAND,ENGLAND,Ethnicity,J: Pakistani,Total,181750
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Unknown Clock Start,25
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,01 To 18 Weeks,40570
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,18 To 52 Weeks,27045
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Over 52 Weeks,2250
ENG,ENGLAND,ENGLAND,Ethnicity,K: Bangladeshi,Total,69890
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Unknown Clock Start,165
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,01 To 18 Weeks,94025
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,18 To 52 Weeks,61795
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Over 52 Weeks,4385
ENG,ENGLAND,ENGLAND,Ethnicity,L: Any other Asian background,Total,160370
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Unknown Clock Start,35
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,01 To 18 Weeks,52960
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,18 To 52 Weeks,32820
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Over 52 Weeks,2535
ENG,ENGLAND,ENGLAND,Ethnicity,M: Caribbean,Total,88345
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Unknown Clock Start,80
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,01 To 18 Weeks,89490
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,18 To 52 Weeks,56160
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Over 52 Weeks,4495
ENG,ENGLAND,ENGLAND,Ethnicity,N: African,Total,150225
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,Unknown Clock Start,65
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,01 To 18 Weeks,40770
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,18 To 52 Weeks,25415
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,Over 52 Weeks,1930
ENG,ENGLAND,ENGLAND,Ethnicity,P: Any other Black background,Total,68180
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,Unknown Clock Start,25
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,01 To 18 Weeks,18260
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,18 To 52 Weeks,11005
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,Over 52 Weeks,840
ENG,ENGLAND,ENGLAND,Ethnicity,R: Chinese,Total,30130
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,Unknown Clock Start,65
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,48795
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,31530
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,Over 52 Weeks,2310
ENG,ENGLAND,ENGLAND,Ethnicity,S: Any other ethnic group,Total,82700
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,Unknown Clock Start,380
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,01 To 18 Weeks,193940
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,18 To 52 Weeks,113090
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,Over 52 Weeks,8150
ENG,ENGLAND,ENGLAND,Ethnicity,Z: Not stated,Total,315560
ENG,ENGLAND,ENGLAND,IMD,1,Unknown Clock Start,520
ENG,ENGLAND,ENGLAND,IMD,1,01 To 18 Weeks,438135
ENG,ENGLAND,ENGLAND,IMD,1,18 To 52 Weeks,280825
ENG,ENGLAND,ENGLAND,IMD,1,Over 52 Weeks,22910
ENG,ENGLAND,ENGLAND,IMD,1,Total,742390
ENG,ENGLAND,ENGLAND,IMD,10,Unknown Clock Start,860
ENG,ENGLAND,ENGLAND,IMD,10,01 To 18 Weeks,378945
ENG,ENGLAND,ENGLAND,IMD,10,18 To 52 Weeks,227050
ENG,ENGLAND,ENGLAND,IMD,10,Over 52 Weeks,16670
ENG,ENGLAND,ENGLAND,IMD,10,Total,623525
ENG,ENGLAND,ENGLAND,IMD,2,Unknown Clock Start,545
ENG,ENGLAND,ENGLAND,IMD,2,01 To 18 Weeks,447000
ENG,ENGLAND,ENGLAND,IMD,2,18 To 52 Weeks,279065
ENG,ENGLAND,ENGLAND,IMD,2,Over 52 Weeks,21390
ENG,ENGLAND,ENGLAND,IMD,2,Total,748000
ENG,ENGLAND,ENGLAND,IMD,3,Unknown Clock Start,580
ENG,ENGLAND,ENGLAND,IMD,3,01 To 18 Weeks,445020
ENG,ENGLAND,ENGLAND,IMD,3,18 To 52 Weeks,277440
ENG,ENGLAND,ENGLAND,IMD,3,Over 52 Weeks,21470
ENG,ENGLAND,ENGLAND,IMD,3,Total,744510
ENG,ENGLAND,ENGLAND,IMD,4,Unknown Clock Start,785
ENG,ENGLAND,ENGLAND,IMD,4,01 To 18 Weeks,438385
ENG,ENGLAND,ENGLAND,IMD,4,18 To 52 Weeks,274025
ENG,ENGLAND,ENGLAND,IMD,4,Over 52 Weeks,21045
ENG,ENGLAND,ENGLAND,IMD,4,Total,734240
ENG,ENGLAND,ENGLAND,IMD,5,Unknown Clock Start,740
ENG,ENGLAND,ENGLAND,IMD,5,01 To 18 Weeks,431285
ENG,ENGLAND,ENGLAND,IMD,5,18 To 52 Weeks,266695
ENG,ENGLAND,ENGLAND,IMD,5,Over 52 Weeks,20505
ENG,ENGLAND,ENGLAND,IMD,5,Total,719225
ENG,ENGLAND,ENGLAND,IMD,6,Unknown Clock Start,670
ENG,ENGLAND,ENGLAND,IMD,6,01 To 18 Weeks,433310
ENG,ENGLAND,ENGLAND,IMD,6,18 To 52 Weeks,266450
ENG,ENGLAND,ENGLAND,IMD,6,Over 52 Weeks,19945
ENG,ENGLAND,ENGLAND,IMD,6,Total,720370
ENG,ENGLAND,ENGLAND,IMD,7,Unknown Clock Start,920
ENG,ENGLAND,ENGLAND,IMD,7,01 To 18 Weeks,419800
ENG,ENGLAND,ENGLAND,IMD,7,18 To 52 Weeks,255585
ENG,ENGLAND,ENGLAND,IMD,7,Over 52 Weeks,18950
ENG,ENGLAND,ENGLAND,IMD,7,Total,695255
ENG,ENGLAND,ENGLAND,IMD,8,Unknown Clock Start,735
ENG,ENGLAND,ENGLAND,IMD,8,01 To 18 Weeks,416655
ENG,ENGLAND,ENGLAND,IMD,8,18 To 52 Weeks,254875
ENG,ENGLAND,ENGLAND,IMD,8,Over 52 Weeks,19070
ENG,ENGLAND,ENGLAND,IMD,8,Total,691335
ENG,ENGLAND,ENGLAND,IMD,9,Unknown Clock Start,720
ENG,ENGLAND,ENGLAND,IMD,9,01 To 18 Weeks,405550
ENG,ENGLAND,ENGLAND,IMD,9,18 To 52 Weeks,245210
ENG,ENGLAND,ENGLAND,IMD,9,Over 52 Weeks,18625
ENG,ENGLAND,ENGLAND,IMD,9,Total,670105
ENG,ENGLAND,ENGLAND,Sex,Female,Unknown Clock Start,3975
ENG,ENGLAND,ENGLAND,Sex,Female,01 To 18 Weeks,2327740
ENG,ENGLAND,ENGLAND,Sex,Female,18 To 52 Weeks,1462900
ENG,ENGLAND,ENGLAND,Sex,Female,Over 52 Weeks,113095
ENG,ENGLAND,ENGLAND,Sex,Female,Total,3907705
ENG,ENGLAND,ENGLAND,Sex,Male,Unknown Clock Start,2710
ENG,ENGLAND,ENGLAND,Sex,Male,01 To 18 Weeks,1777340
ENG,ENGLAND,ENGLAND,Sex,Male,18 To 52 Weeks,1085985
ENG,ENGLAND,ENGLAND,Sex,Male,Over 52 Weeks,81555
ENG,ENGLAND,ENGLAND,Sex,Male,Total,2947585
ENG,ENGLAND,INDEPENDENT SECTOR,Age,0-18 Years,Unknown Clock Start,60
ENG,ENGLAND,INDEPENDENT SECTOR,Age,0-18 Years,01 To 18 Weeks,2960
ENG,ENGLAND,INDEPENDENT SECTOR,Age,0-18 Years,18 To 52 Weeks,640
ENG,ENGLAND,INDEPENDENT SECTOR,Age,0-18 Years,Over 52 Weeks,25
ENG,ENGLAND,INDEPENDENT SECTOR,Age,0-18 Years,Total,3685
ENG,ENGLAND,INDEPENDENT SECTOR,Age,19-64 Years,Unknown Clock Start,2130
ENG,ENGLAND,INDEPENDENT SECTOR,Age,19-64 Years,01 To 18 Weeks,147405
ENG,ENGLAND,INDEPENDENT SECTOR,Age,19-64 Years,18 To 52 Weeks,57500
ENG,ENGLAND,INDEPENDENT SECTOR,Age,19-64 Years,Over 52 Weeks,2620
ENG,ENGLAND,INDEPENDENT SECTOR,Age,19-64 Years,Total,209660
ENG,ENGLAND,INDEPENDENT SECTOR,Age,Over 65 Years,Unknown Clock Start,1195
ENG,ENGLAND,INDEPENDENT SECTOR,Age,Over 65 Years,01 To 18 Weeks,114375
ENG,ENGLAND,INDEPENDENT SECTOR,Age,Over 65 Years,18 To 52 Weeks,31385
ENG,ENGLAND,INDEPENDENT SECTOR,Age,Over 65 Years,Over 52 Weeks,1425
ENG,ENGLAND,INDEPENDENT SECTOR,Age,Over 65 Years,Total,148385
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,99: Not known,Unknown Clock Start,30
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,99: Not known,01 To 18 Weeks,5515
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,99: Not known,18 To 52 Weeks,2230
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,99: Not known,Over 52 Weeks,95
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,99: Not known,Total,7865
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,A: British,Unknown Clock Start,2795
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,A: British,01 To 18 Weeks,194240
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,A: British,18 To 52 Weeks,68740
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,A: British,Over 52 Weeks,3175
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,A: British,Total,268950
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,B: Irish,Unknown Clock Start,20
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,B: Irish,01 To 18 Weeks,1385
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,B: Irish,18 To 52 Weeks,435
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,B: Irish,Over 52 Weeks,25
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,B: Irish,Total,1865
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,C: Any other white background,Unknown Clock Start,135
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,C: Any other white background,01 To 18 Weeks,14980
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,C: Any other white background,18 To 52 Weeks,4325
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,C: Any other white background,Over 52 Weeks,215
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,C: Any other white background,Total,19655
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,D: White and Black Caribbean,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,720
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,D: White and Black Caribbean,18 To 52 Weeks,275
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,D: White and Black Caribbean,Over 52 Weeks,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,D: White and Black Caribbean,Total,1005
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,E: White and Black African,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,E: White and Black African,01 To 18 Weeks,395
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,E: White and Black African,18 To 52 Weeks,140
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,E: White and Black African,Over 52 Weeks,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,E: White and Black African,Total,545
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,F: White and Asian,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,F: White and Asian,01 To 18 Weeks,555
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,F: White and Asian,18 To 52 Weeks,180
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,F: White and Asian,Over 52 Weeks,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,F: White and Asian,Total,745
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,G: Any other mixed background,Unknown Clock Start,20
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,G: Any other mixed background,01 To 18 Weeks,1305
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,G: Any other mixed background,18 To 52 Weeks,450
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,G: Any other mixed background,Over 52 Weeks,15
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,G: Any other mixed background,Total,1795
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,H: Indian,Unknown Clock Start,30
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,H: Indian,01 To 18 Weeks,6095
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,H: Indian,18 To 52 Weeks,1825
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,H: Indian,Over 52 Weeks,70
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,H: Indian,Total,8020
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,J: Pakistani,Unknown Clock Start,25
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,J: Pakistani,01 To 18 Weeks,5205
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,J: Pakistani,18 To 52 Weeks,2090
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,J: Pakistani,Over 52 Weeks,65
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,J: Pakistani,Total,7385
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,K: Bangladeshi,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,K: Bangladeshi,01 To 18 Weeks,2060
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,K: Bangladeshi,18 To 52 Weeks,685
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,K: Bangladeshi,Over 52 Weeks,45
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,K: Bangladeshi,Total,2790
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,L: Any other Asian background,Unknown Clock Start,25
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,L: Any other Asian background,01 To 18 Weeks,4565
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,L: Any other Asian background,18 To 52 Weeks,1290
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,L: Any other Asian background,Over 52 Weeks,45
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,L: Any other Asian background,Total,5925
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,M: Caribbean,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,M: Caribbean,01 To 18 Weeks,2465
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,M: Caribbean,18 To 52 Weeks,665
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,M: Caribbean,Over 52 Weeks,25
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,M: Caribbean,Total,3165
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,N: African,Unknown Clock Start,20
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,N: African,01 To 18 Weeks,3825
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,N: African,18 To 52 Weeks,975
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,N: African,Over 52 Weeks,40
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,N: African,Total,4860
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,P: Any other Black background,Unknown Clock Start,15
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,P: Any other Black background,01 To 18 Weeks,1670
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,P: Any other Black background,18 To 52 Weeks,490
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,P: Any other Black background,Over 52 Weeks,20
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,P: Any other Black background,Total,2195
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,R: Chinese,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,R: Chinese,01 To 18 Weeks,880
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,R: Chinese,18 To 52 Weeks,235
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,R: Chinese,Over 52 Weeks,10
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,R: Chinese,Total,1135
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,S: Any other ethnic group,Unknown Clock Start,15
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,1580
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,390
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,S: Any other ethnic group,Over 52 Weeks,15
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,S: Any other ethnic group,Total,1995
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,Z: Not stated,Unknown Clock Start,240
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,Z: Not stated,01 To 18 Weeks,18260
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,Z: Not stated,18 To 52 Weeks,4155
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,Z: Not stated,Over 52 Weeks,190
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,Z: Not stated,Total,22845
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,1,Unknown Clock Start,300
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,1,01 To 18 Weeks,20190
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,1,18 To 52 Weeks,7015
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,1,Over 52 Weeks,305
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,1,Total,27805
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,10,Unknown Clock Start,155
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,10,01 To 18 Weeks,28920
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,10,18 To 52 Weeks,9720
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,10,Over 52 Weeks,360
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,10,Total,39150
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,2,Unknown Clock Start,345
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,2,01 To 18 Weeks,22330
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,2,18 To 52 Weeks,7330
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,2,Over 52 Weeks,365
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,2,Total,30375
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,3,Unknown Clock Start,280
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,3,01 To 18 Weeks,24110
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,3,18 To 52 Weeks,8135
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,3,Over 52 Weeks,410
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,3,Total,32940
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,4,Unknown Clock Start,415
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,4,01 To 18 Weeks,24705
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,4,18 To 52 Weeks,8065
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,4,Over 52 Weeks,390
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,4,Total,33570
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,5,Unknown Clock Start,475
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,5,01 To 18 Weeks,25495
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,5,18 To 52 Weeks,8465
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,5,Over 52 Weeks,415
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,5,Total,34850
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,6,Unknown Clock Start,365
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,6,01 To 18 Weeks,28195
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,6,18 To 52 Weeks,9355
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,6,Over 52 Weeks,470
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,6,Total,38385
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,7,Unknown Clock Start,475
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,7,01 To 18 Weeks,27875
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,7,18 To 52 Weeks,9620
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,7,Over 52 Weeks,410
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,7,Total,38375
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,8,Unknown Clock Start,310
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,8,01 To 18 Weeks,29480
